b2_site_smc_agency_name,c1_type_of_site,c2_landowner,c3_tenancy_agreement_for_at_least_6_months,b1_site_management,b5_community_committee_in_place,d1_most_common_reason_idps_left_place_of_origin,a8_population_groups_other_than_idps_in_site_select_all_applicable,d3_most_common_intention_in_next_three_months,c4_general_market_in_site_close_proximity,d2_1_most_common_district_of_idp_origin,d2_2_second_most_common_district_of_idp_origin,d2_3_third_most_common_district_of_idp_origin,c6_electricity_solar_power_available_in_site,c5_fuel_available_in_site_close_proximity,c8_primary_water_source,c9_primary_shelter_type,c10_primary_latrine_type,i1_top_priority_need,i2_second_priority_need,i3_third_priority_need,psp_rrm_distributions,psp_shelter_maintenance_services,psp_nfi_distribution,psp_food_distribution,psp_cash_distributions,psp_wash_services,psp_health_services,psp_education_services,psp_livelihood_services,psp_protection_services,psp_nutrition_services,psp_waste_disposal_services,if_ngo_rrm_distributions,if_ngo_shelter_maintenance_services,if_ngo_nfi_distribution,if_ngo_food_distribution,if_ngo_cash_distributions,if_ngo_wash_services,if_ngo_health_services,if_ngo_education_services,if_ngo_livelihood_services,if_ngo_protection_services,if_ngo_nutrition_services,if_ngo_waste_disposal_services,c7_presence_of_particularly_vulnerable_groups.unaccompanied_separated_children,c7_presence_of_particularly_vulnerable_groups.child_headed_hh,c7_presence_of_particularly_vulnerable_groups.elderly,c7_presence_of_particularly_vulnerable_groups.female_headed_hh,c7_presence_of_particularly_vulnerable_groups.marginalized_people,c7_presence_of_particularly_vulnerable_groups.persons_with_disabilities,c7_presence_of_particularly_vulnerable_groups.persons_with_chronic_diseases_serious_medical_conditions,c7_presence_of_particularly_vulnerable_groups.pregnant_and_lactating_women,f1_threats_to_the_site.flooding,f1_threats_to_the_site.eviction,f1_threats_to_the_site.infectious_diseases,f1_threats_to_the_site.friction_between_communities,f1_threats_to_the_site.water_contamination,f1_threats_to_the_site.conflict_related_incidents,f1_threats_to_the_site.fire_related_incidents,a1_governorate_name,a2_district_name,a3_sub_district_name,a4_site_name,a4_site_code,a6_site_occupation_date_dd_mm_yy,a7_site_population_individual,a7_site_population_hh,a8_population_groups_other_than_idps_in_site_select_all_applicable,@rrm_distributions,@shelter_maintenance_services,@nfi_distribution,@food_distribution,@cash_distributions,@wash_services,@health_services,@education_services,@livelihood_services,@protection_services,@nutrition_services,@waste_disposal_services,@maps
NA,Collective centre,Private,No,Non-existent,NA,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,Yes,Zabid,Al Jarrahi,At Tuhayta,Yes,Yes,Piped water into compound/public tap,Rented house/appartment,Flush latrine to a tank/sewer system/pit,Food,Cash assistance,Non-food items,NGO/UN agency,NGO/UN agency,NGO/UN agency,NA,NA,NA,NA,Government,NA,NGO/UN agency,Government,NA,Action Contre la Faim (ACF),Al-Amal Foundation for Development (AFD),Al-Amal Foundation for Development (AFD),NA,NA,NA,NA,NA,NA,INTERSOS,NA,NA,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Lahj,Tuban,Al Hawtah - Tuban,Al Wahat,YE2515 - 1251,7/1/2015,242,50,none,./merge/green.png,./merge/green.png,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/orange.png,./merge/red.png,./merge/green.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Al Wahat.pdf
NA,Collective centre,Private,No,Government,NA,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Al Jarrahi,NA,NA,Yes,Yes,Piped water into compound/public tap,Host family house/apartment,Flush latrine to the open,Cash assistance,Water,Non-food items,NA,NA,NGO/UN agency,NGO/UN agency,NA,Government,Government,Government,NA,NA,NGO/UN agency,NA,NA,NA,Danish Refugee Council (DRC),Adventist Development Relief Agency,NA,NA,NA,NA,NA,NA,UNICEF,NA,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Lahj,Tuban,Al Hawtah - Tuban,Al Zaydah,YE2515 - 1252,11/1/2017,45,9,host community,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/green.png,./merge/orange.png,./merge/green.png,./merge/red.png,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Al Zaydah.pdf
NA,Collective centre,Private,No,Government,NA,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Bayt Al Faqih,Al Jarrahi,Rassd,Yes,Yes,Borehole,Host family house/apartment,Flush latrine to a tank/sewer system/pit,Food,Medical assistance,Cash assistance,NA,NA,NGO/UN agency,NGO/UN agency,NA,Private,NA,Government,NA,NA,NGO/UN agency,NA,NA,NA,Danish Refugee Council (DRC),Field Medical Foundation (FMF),NA,NA,NA,NA,NA,NA,UNICEF,NA,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Lahj,Tuban,Al Hawtah - Tuban,Al Ziady,YE2515 - 1253,2/1/2016,35,7,host community,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/green.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Al Ziady.pdf
IOM,Collective centre,Private,Yes,NGO/UN agency,Present,House/livelihood assets destroyed/occupied,None,Stay in the site,Yes,NA,NA,NA,No,Yes,Protected rainwater tank/well/spring,Emergency shelter,Open defection,Food,Shelter / maintenance assistance,Non-food items,NA,NGO/UN agency,NGO/UN agency,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,IOM,IOM,NA,Oxfam,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Ibb,As Sabrah,Bani Atif,Al-Ahad Market - Al-Hujaryah,YE1114 - 1254,5/1/2017,113,26,none,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Al-Ahad Market - Al-Hujaryah.pdf
NA,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ad Dali',Ad Dali',Ad Dali,Al-Ajima,YE3006 - 1255,1/1/2019,98,14,none,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/test maps/YEM_CCCM_Al-Ajima.pdf
Yemen Red Crescent Society (YRCS),Spontaneous settlement,Private,No,NGO/UN agency,Present,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Harad,Midi,Hayran,No,Yes,Water Trucking,Makeshift shelter,Pit latrine-open,Food,Shelter / maintenance assistance,Medical assistance,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,N/A,NA,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Hajjah,Abs,Matwalah,Al'ak,YE1704 - 1256,9/1/2015,1089,210,host community,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Al'ak.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Harad,Mustaba,NA,No,Yes,Unprotected rainwater tank/well/spring,Host family house/apartment,Open defection,Education,Food,Water,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NGO/UN agency,NA,NA,NA,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,NA,World Food Programme (WFP),NA,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Hajjah,Washhah,Bani Sad,Alanabsah,YE1730 - 1257,1/1/2015,300,60,host community,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Alanabsah.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Shada'a,Harad,Abs,No,No,Unprotected rainwater tank/well/spring,Emergency shelter,Open defection,Shelter / maintenance assistance,Sanitation services,Education,NA,NA,NA,NGO/UN agency,NA,NA,NGO/UN agency,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,World Food Programme (WFP),NA,NA,Adventist Development Relief Agency,NA,NA,NA,Adventist Development Relief Agency,NA,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Hajjah,Aslam,Aslam Al Wasat,Alarsh,YE1712 - 1258,6/1/2015,350,50,host community,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Alarsh.pdf
NA,NA,NA,NA,NA,NA,NA,Host community,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hajjah,Aslam,Aslam Al Yemen,Albain,YE1712 - 1259,5/1/2014,49,7,host community,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/test maps/YEM_CCCM_Albain.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Harad,Kushar,Bakil Al Mir,No,Yes,Protected rainwater tank/well/spring,Host family house/apartment,Flush latrine to the open,Food,Water,Medical assistance,NA,NA,NA,NGO/UN agency,NA,NA,NA,Government,NA,NA,NGO/UN agency,NA,NA,NA,NA,Norweigan Refugee Council (NRC),NA,NA,NA,NA,NA,NA,UNICEF YCO,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Hajjah,Washhah,Dain,Albraghish,YE1730 - 1260,1/1/2015,3500,50,host community,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Albraghish.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Harad,Mustaba,NA,No,Yes,Unprotected rainwater tank/well/spring,Host family house/apartment,Open defection,Water,Food,Medical assistance,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Hajjah,Washhah,Dain,Aldahlah & Ma'taka,YE1730 - 1261,1/1/2015,700,100,host community,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Aldahlah & Ma'taka.pdf
N/A,Spontaneous settlement,Owner not know,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Harad,Adh Dhahir,Abs,No,Yes,Unprotected rainwater tank/well/spring,Makeshift shelter,Open defection,Shelter / maintenance assistance,Cash assistance,Livelihood assistance,NA,NA,NA,NGO/UN agency,NA,NA,NGO/UN agency,Government,NA,NA,NGO/UN agency,NA,NA,NA,NA,World Food Programme (WFP),NA,NA,Sustainable Development Foundation (SDF),NA,NA,NA,Sustainable Development Foundation (SDF),NA,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Hajjah,Aslam,Aslam Al Yemen,Aldahr,YE1712 - 1262,4/1/2015,1400,200,host community,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Aldahr.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Harad,Abs,Hayran,No,No,Unprotected rainwater tank/well/spring,Makeshift shelter,Open defection,Cash assistance,Food,Education,NA,NA,NA,NGO/UN agency,NA,NA,NGO/UN agency,Government,NA,NA,NA,NA,NA,NA,NA,World Food Programme (WFP),NA,NA,Abs Development Organization (ADO),NA,NA,NA,NA,NA,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Hajjah,Aslam,Aslam Ash Sham,Aldahyliah,YE1712 - 1263,3/1/2015,1140,190,host community,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Aldahyliah.pdf
N/A,Spontaneous settlement,Owner not know,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Harad,Adh Dhahir,Mustaba,No,No,Protected rainwater tank/well/spring,Makeshift shelter,Pit latrine-open,Shelter / maintenance assistance,Nutrition services,Cash assistance,NA,NA,NA,NGO/UN agency,NA,NA,NGO/UN agency,Government,NA,NA,NA,NA,NA,NA,NA,World Food Programme (WFP),NA,NA,Sustainable Development Foundation (SDF),NA,NA,NA,NA,NA,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Hajjah,Mustaba,Sharq Mustabaa Al Aqsa,Aldamash,YE1706 - 1264,4/1/2015,4900,700,host community,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Aldamash.pdf
NA,Spontaneous settlement,Private,No,Non-existent,NA,Evicted from property,None,Return to origin,No,Khab wa Ash Sha'f,NA,NA,Yes,No,Water Trucking,Makeshift shelter,Pit latrine-covered,Food,Shelter / maintenance assistance,Livelihood assistance,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Islamic Relief Yemen (IRY),NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Ma'rib,Ma'rib,Aal Rashid Munif,Aldameen,YE2613 - 1265,7/1/2016,96,16,none,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Aldameen.pdf
NA,Spontaneous settlement,Private,No,Government,NA,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,No,Al Jarrahi,Mawza',NA,No,No,Borehole,Emergency shelter,Pit latrine-covered,Food,Non-food items,Cash assistance,NA,NGO/UN agency,NGO/UN agency,Private,NGO/UN agency,NGO/UN agency,NA,NA,NA,NGO/UN agency,NA,NA,NA,Nahda Makers Organization (NMO),Nahda Makers Organization (NMO),NA,INTERSOS,Action Contre la Faim (ACF),NA,NA,NA,INTERSOS,NA,NA,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Aden,Al Mansurah,Al Mansurah,Al-Dayani,YE2403 - 1266,1/1/2019,133,23,none,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Al-Dayani.pdf
NA,Spontaneous settlement,Private,No,Non-existent,NA,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Al Odayn,Al Makhadir,NA,Yes,Yes,Borehole,Emergency shelter,Open defection,Livelihood assistance,Non-food items,Cash assistance,NA,NA,NA,NGO/UN agency,NA,Private,NA,Government,NA,NA,NGO/UN agency,NA,NA,NA,NA,National Foundation for Development & Humanitarian Response (NFDHR),NA,NA,NA,NA,NA,NA,UNICEF,NA,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Ma'rib,Ma'rib,Aal Shabwan,Alerq Alsharqi,YE2613 - 1267,5/1/2018,1400,200,host community,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Alerq Alsharqi.pdf
NA,Spontaneous settlement,Private,No,Non-existent,NA,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,No,Al Hali,Al Hawak,Al Jarrahi,Yes,No,Illegal connection to piped network,Makeshift shelter,Pit latrine-open,Shelter / maintenance assistance,Non-food items,Food,NA,NA,NA,NA,NA,NA,Government,Government,NA,NA,NA,Government,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Aden,Al Burayqah,Al Burayqah,Al-Farsy Collection,YE2404 - 1268,1/1/2018,251,47,none,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/test maps/YEM_CCCM_Al-Farsy Collection.pdf
NA,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ad Dali',Al Hasayn,Al Hasayn,Al-Fatah School Camp,YE3005 - 1269,1/1/2018,25,4,none,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/grey.png,./merge/test maps/YEM_CCCM_Al-Fatah School Camp.pdf
N/A,Spontaneous settlement,Public ,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Harad,Adh Dhahir,Bakil Al Mir,No,No,"Surface water (river, dam, lake, pond, stream, canal)",Makeshift shelter,Open defection,Water,Medical assistance,Sanitation services,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Hajjah,Washhah,Bani Hani,Alfsor,YE1730 - 1270,1/1/2015,1550,310,host community,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Alfsor.pdf
NA,Spontaneous settlement,Private,No,Non-existent,NA,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,No,Sirwah,NA,NA,Yes,Yes,Unprotected rainwater tank/well/spring,Makeshift shelter,Pit latrine-covered,Water,Shelter / maintenance assistance,Non-food items,NA,NA,NA,NGO/UN agency,NA,NGO/UN agency,NA,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,World Food Programme (WFP),NA,UNICEF,NA,NA,NA,NA,UNICEF,NA,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Ma'rib,Ma'rib,Aal Rashid Munif,Alghawya Alkulaibi,YE2613 - 1271,8/1/2016,400,73,host community,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Alghawya Alkulaibi.pdf
NA,Collective centre,Public ,No,Non-existent,NA,"Security concerns (conflict, explosives, lack of security forces)",None,Move elsewhere,Yes,Shaharah,Dhamar City,Al Ja'fariyyah,Yes,Yes,Bottled water,Public building,Pit latrine-covered,Education,Sanitation services,Shelter / maintenance assistance,NA,Government,NGO/UN agency,NGO/UN agency,NA,NA,Government,Government,Private,NA,NGO/UN agency,Government,NA,NA,N/A,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,UNICEF,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Ma'rib,Ma'rib City,Al Ashraf - Marib City,Alghorfa Altojareyah (Chamber of Commerce),YE2612 - 1272,11/1/2015,210,35,none,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/green.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/test maps/YEM_CCCM_Alghorfa Altojareyah (Chamber of Commerce).pdf
N/A,Collective centre,Private,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Harad,Abs,NA,No,Yes,Unprotected rainwater tank/well/spring,Host family house/apartment,Flush latrine to the open,Water,Non-food items,Cash assistance,NA,NA,NA,NGO/UN agency,NA,Private,NGO/UN agency,Government,NA,NA,NGO/UN agency,NA,NA,NA,NA,Norweigan Refugee Council (NRC),NA,NA,UNICEF YCO,NA,NA,NA,International Rescue Committee (IRC),NA,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Hajjah,Washhah,Bani Hani,AlHabeel,YE1730 - 1273,7/1/2014,420,40,host community,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/test maps/YEM_CCCM_AlHabeel.pdf
NA,Spontaneous settlement,Private,No,Non-existent,NA,"Security concerns (conflict, explosives, lack of security forces)",None,Stay in the site,No,Sa'dah,Bajil,Kitaf wa Al Boqa',Yes,No,Borehole,Makeshift shelter,Pit latrine-open,Cash assistance,Non-food items,Medical assistance,NGO/UN agency,NA,NA,NGO/UN agency,NA,NA,NA,Government,NA,NA,NA,NA,National Foundation for Development & Humanitarian Response (NFDHR),NA,NA,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Ma'rib,Ma'rib,Aal Rashid Munif,Alhadan,YE2613 - 1274,11/1/2016,600,100,none,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Alhadan.pdf
N/A,Spontaneous settlement,Private,No,Non-existent,Non-existent,Lack of basic services,Host community,Stay in the site,No,Harad,Adh Dhahir,Hayran,Yes,No,"Surface water (river, dam, lake, pond, stream, canal)",Host family house/apartment,Pit latrine-open,Water,Food,Medical assistance,NA,NA,NA,NGO/UN agency,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,World Food Programme (WFP),NA,NA,NA,NA,NA,NA,NA,NA,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Hajjah,Washhah,Dain,Alhadb,YE1730 - 1275,1/1/2015,245,35,host community,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Alhadb.pdf
NA,Spontaneous settlement,Private,No,Private,NA,House/livelihood assets destroyed/occupied,Host community,Stay in the site,Yes,Dawran Anis,Al Hada,NA,No,No,Borehole,Makeshift shelter,Open defection,Food,Shelter / maintenance assistance,Cash assistance,NA,NA,NA,NA,NA,NA,NA,Government,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Ma'rib,Ma'rib,Aal Qazah,Alhadba (Muhamasheen),YE2613 - 1276,11/1/2015,300,60,host community,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/green.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Alhadba (Muhamasheen).pdf
N/A,Spontaneous settlement,Owner not know,No,Non-existent,Non-existent,"Security concerns (conflict, explosives, lack of security forces)",Host community,Stay in the site,Yes,Harad,Adh Dhahir,Mustaba,No,Yes,Unprotected rainwater tank/well/spring,Makeshift shelter,Pit latrine-open,Shelter / maintenance assistance,Cash assistance,Nutrition services,NA,NA,NA,NGO/UN agency,NA,NA,NGO/UN agency,Government,NA,NA,NA,NA,NA,NA,NA,World Food Programme (WFP),NA,NA,Sustainable Development Foundation (SDF),NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Hajjah,Mustaba,Sharq Mustabaa Al Aqsa,Alhaijah,YE1706 - 1277,4/1/2015,3150,450,host community,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/red.png,./merge/red.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/orange.png,./merge/test maps/YEM_CCCM_Alhaijah.pdf
