"","index","value","variable","has_issue","issue_type"
"375",NA,"TumbkvpxRKpwQKAPGqFvbrQjcVGdmjNLUHJOfuRaolaJavDbPSPvBLWtcvJycQ UnBNuHfZOdVvKap /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"376",NA,"tUx UPdVmqFQKULB cdHMkUZSfpDi /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"377",NA,"txBLvPcNycqgXNbdOBlsduTeNCBXdDGodxHDxagFPfozp eFeqWDtYJyiV fcMkcCwGsMOMBiqpBRqdclTgGBOJpEjVwSuyoEG /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"378",NA,"TYhlMFRWAzsDXPAwxIelItRxidLz tPKXAuusKTSlLkHzafWjx yzviAIWqMdxVdILSo /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"379",NA,"UbHJFJvyZ K /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"380",NA,"ubqJBmXsVcGXOnw  /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"381",NA,"ucMsDVUPUKqnIKCaegtQenrefMIycAfvnbveTjs fXMkEDiVOkdYZhMjaVVdELFgZUazjXshKT /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"382",NA,"UdiitGLJRxHp AvCd fYbFYvKaSdCzcE /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"383",NA,"UeKkQIFrMOGWFOoWRWMtKBtafgdniAXLbSrZOMPccmEeRMhtxlQdSPzvLWaDsrytXJJlQQwDuYcaeBaAgTuinVv /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"384",NA,"UKGKJfmw tsEMuRRposWeXuF /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"385",NA,"UkLrkjomHVCosapnzKx /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"386",NA,"UkXpRpJgjM /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"387",NA,"USYtTdDr /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"388",NA,"UUMhbTlYBDfPLWEWCVgbOcbUJrxRTnzkHEirSAoQfRibRwBffoheqoOoTCjXKlWnXCRC /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"389",NA,"uVmcVBxKJcUPJFCxkrCJeDMFmDIRzoCvsGknfLkE rNiHexbGrFntjGIDFRSbmAuSkNOaWOejGdzvWevyqUH /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"390",NA,"UvPNtkCTPPxJiwbNBwzYV /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"391",NA,"uxSDIhrSsUEKXpbzkWJgxNhsIvQZNxHgumvwynActcNqITfjQwcFWixDrRNrbYouKnaPPSgLyENu /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"392",NA,"UYMKpsHpKLsxpyWfD njjcFJQxmwdCBXd hX XddhZfllOkDPAkqCbtLASxFKOxlcXXNkIoKYzIqKKazDmWDzgPM /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"393",NA,"vbHHvXCA CGnmUXBAUxZQgJGZkEaxcaWyBPTyYdbIQdQTkMIUPeeupgyrzKmMCtdGZrrEcwZQNoxxp /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"394",NA,"vbQrhZMQDTYDVweZDsCCXcqIDzarM eJvLbRJJFekpQWnYNXRWftrFHlERYucVxVjUOoWdyiUMDs lKcGSKkOhJ /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"395",NA,"VEsV ScPmhWKdM nk /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"396",NA,"vFDiQPZltFoJSAEnNzyCoGpFfIVUgzWcfXHpUuFtQm /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"397",NA,"VgxMbbRbNSPtIycIeE Ci /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"398",NA,"VhqRnFMmliwIxZQhrMfGlxTcPkJAyyKvGNbILBfHPTcKwxpglbLVpwtNzOcrovQeDCctXqovIM /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"399",NA,"VjHghouAvpkLnaZLliEGyIQBnbpJfxjyTUSuUAwaaWlyEQhCtBxK DVKSectUQtFnuDgHOmDFgpwIuvjB ztzgHEafU /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"400",NA,"VKRy pcYEwWcGzxKUGupYaMhJkBCxKwBZBqsVmUliCYRMaNpCuPzcIQt clQyQArgmEytFQmXIgGLCDXxsW  /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"401",NA,"vmKwNlukSTbkpI /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"402",NA,"vmWvdS /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"403",NA,"vnnfCLTRhYByzkqpacSklyMTkTsKKHhguKrxAwIOODmfFaKkBzofPXU /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"404",NA,"voDZWtwltbyMJyqSmZxrMTDiiduXCtGbLIKjPpAVHzypAXAbLxFUkKVqdVnrRBeFsiEACeRFHVEVBOpn /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"405",NA,"vOpoEzWkPwZbKClRQ hzMHlYuhdP ptfeJMryuXUITVSevHLvMBUECHrJElhNfZUdKdxMQwDnDtMqu DpYSCnPWiRlTHpmBv /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"406",NA,"VPjLocsnKQEzJLQzgItwH wFVIQbEZyVOthmTfmdhtcvAkKFNhwvdbDchDMJGtWpUFyQceAFCdFYaIoXVSBbTduQrGsEH /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"407",NA,"vQSddaIQAspvt /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"408",NA,"vQyVwZGRciUDCZEWCjeUkBiwXvIurMOGn /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"409",NA,"vrgPMelBUWM /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"410",NA,"vsgeYue ObpcDCKj uFRvtOuybEcZZAyXOZhNXWlQBudDiMLCKonHuAPcjcTKJSaZWRnxCBjGXioQ hPOlhETBiKLpZ /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"411",NA,"vU WNxhDPPAoEcw KjsDfTRioPvlPyNxlnAn KkEYdusYsXE /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"412",NA,"vUzmjatfWZSzkSMVVXPIVpjVOjty /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"413",NA,"vvkhhCBPXAzQB KYqNjWlNVjbJeTzGJTFkMAQigtszmKaUgRwcNKF  tT /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"414",NA,"vwQOqdeYXsDaRzOwqZRktYJZroqUq UffWXuAfFIvosXgnnjQtMXJrhKIXuvkWeVJyWDWdsBvYXAZCskDSAPXjMqz /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"415",NA,"W /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"416",NA,"W HgAXANg lRzrOYUmHYwbBQSbMGAT /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"417",NA,"wAjlsdpBnvKWSZgm /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"418",NA,"wakzboxEprujiL nRMIkEBqAaz OtufakaXpHBNrUteYrAZJfzVTpZBvsPTHCAAbmAeLGIC MaMzhRQMNaodzGzRGN /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"419",NA,"wBNYAuBr MvDNEJoGsSt /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"420",NA,"wdkKsbVVnsrcl bTttCQGoqiSGxRXHmcOCzGYBuskoGVLOdjiBXgzBKIGWYqLBuwswrkrilDh /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"421",NA,"wEQCFkkcQHLoAhIocjtrqdhS /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"422",NA,"wFBSJnVyVgraxQTZbAFitfDbvAdLZcGIbvIaCGmMYDCRHedmMOQIlPBGOFMnw gS /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"423",NA,"wIJpcKnLHn /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"424",NA,"wjbCyrAMVxsncLVd /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"425",NA,"wLKnqNPYBTGhhDnJQLkGj IhDDWtVNONr KgftypBArIiZuwQoAEeyybEfKjXzflnWzgxOJzLLsmRbiTMFwgOIQREsehYRqOdx /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"426",NA,"WOJLuaaGgPCFxMCIONGNlDtWjEuiLGTkJEnXayDiYVLvw /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"427",NA,"WORpTdjbg dJ yVCSXHYCwwfbXavStKJSOEGmfPyJHDPw /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"428",NA,"wPHfocEAkqwkypO /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"429",NA,"WpWsCHeTNNwuYHdXOMuHF  IfmvFKyZdGyDgaBpAV kYkEL hWykTzYNd /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"430",NA,"WS /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"431",NA,"wsFlLAfmDvVyYyvLANARlpIzlqwlAhIQBRFRWGVivSMXyJuOINlWlwNQUsXC /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"432",NA,"wydgdMnlyFhMtTwvsFVIvrOkWlPdwGEDycSDAGaRw fqvScmWfYpVvRZzHHkblbJscZHzhYQOQSygJ iAPwqA /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"433",NA,"WyfyJDqAdbbZQGEpJItTNuCPVljJgzXKCOYuNvEBFdJND kCpChNjwuXgTZpYfW PKIvZEpFZTnolPK /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"434",NA,"WyTkafVxfiINUMHOEjtEkQDzsgcwSzznZ /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"435",NA,"X /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"436",NA,"X tlkTaxMessIBZVbHdDrK ASgRrTzTILvXvrABApvtlwYuJnbngQ NLmecHHMWfwkok tIA cQrNmYNczJLJXqAvCGHVSQsJTUr /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"437",NA,"xaqlMaWRlux rGyaiVsWMhREqAOxmPAruoQ pxMutDrDgnlMvkwTOixxKDbJhiBFlUEFk /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"438",NA,"xbkfAQjwl cRpZPHKqmHEUgHCPLZoyZAZMKHOhDtVVYLaNBmHISDpPFZClnFpyAqTxTCtx /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"439",NA,"xBWlfXfgGMXWIwJWfCltXtduWGNDoujGgSgkuzMVFLHiLFhwMIhPXWfsLkEcRb cSXcuImIDW /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"440",NA,"XdeuGVfIDTPhPjN liRPjDXNhLupRwdUnbXRiaspcOno DlkjmMRlPFCjnPzkZuwgUmBYonKi  /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"441",NA,"XDjUvwEYdEwAFnBIPaMnVyUrWztKYaDBNZffKRNqcBmcEJpelVVvN jf jONqxpkjCyxtsoSswMfKWyi /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"442",NA,"xGuPFgnqgjlfGKZFSiFPqatjaDId /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"443",NA,"xisfiHkTerJiDHCMbeyMqyYyatmQNHFZUEVKYvekZCwqNIVWwPCtDYgxgk /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"444",NA,"xJ JKTyCKqNEfhfaLHCTQgJukvGYeOovZsFJDrquANJGqlnsHSwa FkwncDQ /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"445",NA,"xJJWMglkvJFm /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"446",NA,"xjmPwxxueswtsifqoVxhrEIbOqMhVlFb /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"447",NA,"xLBzZcAGcWU kPwscEFEEsluaZKPPNHRuWbCoKsX /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"448",NA,"xlJZYKXeHnD TcxAapaeulS PkIQhFSyQltwhHHjEmVow /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"449",NA,"xlVEYYaZeSLObZqhOiLAqSbQoxpf /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"450",NA,"XmhYcqjWi LWURMHLGnhHyQjAZLoFPYGYbbMw UaqgzcvWKkVOvx VIFimIDSIi /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"451",NA,"XoPiZhEtcrWcYhfMM ySjYd sEmdgNBcjVZJOjPHDOoXgCRgANBucpFwHALRdaQdDrGBU /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"452",NA,"XPkJGDcTdkbIIihePPNluLnfDfePCtjYKLfOLKoXZXBPEaFcFDYZ Eer /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"453",NA,"XptQjFmXboekllmkJuXFMJRi UAfJNHBWSAaSFgqdtkUMMQLmVOWPykcTzjcMUtt /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"454",NA,"XrErQnDouBdfJgkfxMRlqfaDvdBTmc /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"455",NA,"XuwB P /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"456",NA,"XvOoNYxzwNtcwoSKU FFliZtSzyNhMhLCsIpnDmYYeMJ /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"457",NA,"xVqbAjjqFhaxJvxBltKiTMLwQQ /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"458",NA,"XwIAtLKy RxbfdxCYtmzdFrrJRHTYSluUkdpucnljbmMkTJIW CV /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"459",NA,"XWOFDhjIpODbSDVFeIGP JpqldNNAvjYwJyMWSJAwpabi /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"460",NA,"xWsnXTRtbrsHzi jhJKRTDJbt /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"461",NA,"Y qWwoBlNyS IOMLyHyVyympadEyUVGIWeTiwthKCPqU /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"462",NA,"yAhfleYEWNKLJuQvVJYyhJKkBWHxIcafrDMovNWrntDcLOesbaDPzLBaR oQNJTcxfqSbefkCVgtWUIzoxRWoZQYCguKfz /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"463",NA,"YaXATKcvLzuLPdqpjzakMgXggkCWSOqjENcQZkwZnpprppozHoUGooBUDJqRFtlplIHYyciOZzWagfNxEmTXUKHTvbwlFv /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"464",NA,"yB /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"465",NA,"YelJBilVAOKMUxg RrUMoiwhDHYKRnxskZfDnxhCIE vxgKPICJymcWsFaXfiybZK wHO /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"466",NA,"yEZiTxJOcdksmgiuGb /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"467",NA,"YgeZNNXxiUuBX pg /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"468",NA,"ygfIXYPQxJWN o jXezqPlwoFJNkQmFjeJdYzxbZ /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"469",NA,"YGqrvpEPJxCJDfzCfIcjXjClLUbddF vVVLgaymuJWO /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"470",NA,"YgXBhEfYUGvJADIa /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"471",NA,"YHidZLxuJNLtSnnODcFdIhTkTmLxcZ KkFSgeNSiLxOrTESUtIIiGHSRSVRxMLqaRGZTLqd /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"472",NA,"YhTKPRmyjIljbtAL /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"473",NA,"YJcjZYxfLXKpnJD VuzTkLtNXRLINxELAmBHYRzVKhISzWRfUq /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"474",NA,"yJNFTMQ /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"475",NA,"YJTIhzFFUGxfhrvMJBnRASis nsNKpKwxaZ /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"476",NA,"YJWFPzdosjXYjcooCiPfiFmWlErdIgyn mPGdR /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"477",NA,"YkQaWDigOhxJohSRuMppDicrDvEibzixbCWaTnAGiW ZPvTrtNzwtVkwDylxDhMo kSNUVjLkeCxSZeXy /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"478",NA,"YlaBBFdiDnaVWNsjgHBtJkatHdiQGCDilN TVqslqylOlMdqhDCiiVaKAkGjrnuTG ceV /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"479",NA,"yLsLqBgavvoIvlXpApasRdeutYHBdD mOInySGwfHhrLLpMzXmTHdBLHfHJHSicVhjsGCRfzGGVSscUqafaTW /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"480",NA,"YNzJncaYaSpohbUAViZAgqZmVANKYwbrLdhVmhpAfyWSBKTWGVpShVoVWfkBM /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"481",NA,"YPOhv  UnMDAqKfbefcyvrVOilIXjSOUKx /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"482",NA,"ypsWxFTDABBijj /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"483",NA,"YPwbUVlkavZ AZsaiapwNFscfNo /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"484",NA,"YRsylgttSWatRhIKMPKdqgEyf /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"485",NA,"yUUmAxBpZaQSxZhFSIFmNaqVFjmIFdpdnOKEmCIQqKoQORNytYi /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"486",NA,"yyrfyPvfIQeluZVzSRKCffZoBHStZpmtOhiGGYTTObncrfNsncCiOQXupbVkZJAFPnPXwflltbwkMbVoEWskeilHKOxh /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"487",NA,"YyXjGHOd /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"488",NA,"zabZVHlBldAaGcAiSGjsknRvPapwRhtZocSlbPhPkmasNKaKgEOWIEcUosxbOOdHwkTZnDhOBofaQowuR /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"489",NA,"zblLpVSrdDcyvWlmmNyqOWRrkVqNYzl CfLIOzldyMIycwhGnZAzpzOcsBCQCVxGxRLqotkTpKfWIBbl jpbYjJtDodaJXLj /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"490",NA,"zhT /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"491",NA,"ZhYtxIxUzciwMzMCMbVfzghBKPQnJmIw /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"492",NA,"zIdkJtuC /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"493",NA,"ZkEcwtMRWcPBacubJRyPqARwOw FnQnwNxSijLMic /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"494",NA,"ZmSavpfedjvTk tTEGIfD /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"495",NA,"ZMvYwb FLBLlXBzauevmdmFMLPpFoOuGHbvtaCCbzxzPMVtqqafTZgIPjhTAAypBZfHNKH /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"496",NA,"ZORHBqsDSHrUJMpKaDPQYZSjissAJnVfoZaKQdUwaoxecSuNZXbpAhHkerkTUQg /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"497",NA,"ZPzWRjZNDIFLzZLHCDY MWrkTNKoHXTbNtEgXgIV /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"498",NA,"ZwkhHtWUqXvumKBFaecnL /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"499",NA,"ZXklDziCtU ViqZ /// instances: 1","a3_other",TRUE,"'other' response. may need recoding."
"500",NA,"  jXzhpVBULXt JmTHcHUlBvscTZdfakQVhO zzIRe /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"501",NA," aopPgSkcvkF foWWtiGfbjhXmJjarnWxSno /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"502",NA," b /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"503",NA," BCTu KBaibzRsYrZVXQby /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"504",NA," dTVxgIJNomCfjCZEQWpOzpYIpxtzpaxiOpBbXhyEIZLlZDEczbIiKyAhWMbeaAU /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"505",NA," GnAtnPcGNEdYwNJAVesAlbgnSpIXdWnNJlCQyBtBpIlcudxUA cXDcxhZYWdcE /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"506",NA," HpFETGQZLnMheicnFWnsqrwrvtBDamNRbfbX nRSwwPALtJB  XbSwkxjjxIDrPPsNmTyhJed /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"507",NA," ldIJ /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"508",NA," RJPBPmlhlUbddCePpQkaxlJgCfHPxTydmIwneFqUEuGcgndkYpsdBABoZgv /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"509",NA," TaF /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"510",NA," XixQtUhJxTLtqZkpvNkoNJn EdkJXSC /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"511",NA," xUiBkGWyXihvUbSMpb xFghasiBJ KZsdEPUOcdtovWwYVlnpBamDbPqTWdiZCdbMG  ikcOA HHOKwUqMwwBxeTdI /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"512",NA," yGudUxXfpbWb /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"513",NA,"aCkhpwdsrBvZajqdp /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"514",NA,"AhyhIaSSqaJaRLXoiXGBmEiTyxkzBzkWbQedVAWpTxanyeqNYdDvwnakVS /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"515",NA,"Ai TTCBZRIOGYjZbeoAUixyDKYNVHpDvhldfbcDwnHMWqGhVriZorkEfnmFd /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"516",NA,"aKh RzlqRMKyJPjmzBLsupvSlpaiVSRZjdViWxuKuZDslk bmRZfEZhKhPLAjNTNHzpxghNmLbHMHjQtmWAFYSIFgQuh /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"517",NA,"AozQ N atEJqtWrtf RC rYXB /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"518",NA,"ARGiolJAJOFGHex tanjfFbYpeHykYgSfgUpkjctauRTSjtZdsf /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"519",NA,"asaQbtvTtVKWXDbfJizV ZdiXbvBodgXmxGzWBCDgTQtSzCi /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"520",NA,"aSKBhqMzvgKgoBromFmLkCxWwjCosIYCvVDsCXUNo xeRqiYiCVkAfmeXtwOSiCdnNSdAkhCKcCwShYrFs /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"521",NA,"aSmVtcGGYmmZDcVPIHsVOliBLxfiKrE GPURYdGqWEsJvFLRxFPOGbIFTBpgCunyZWGhCVl /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"522",NA,"AUnPxFeapHxOXjPRobHuwgtxdNgZEvqCFnYbMU uHGPtWNTuNhvgCapsMZGZfiUdKRoeZpepxCvUF SVWlOOqjwDxGbQws /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"523",NA,"auPrgUbXFhmcvFehkhaOTuUULVzkWfDdOKGLjbtRp /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"524",NA,"auVEZPQAeTnKSRQrjWZFeiMTG /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"525",NA,"azELoCQqnWiQvTrSkZLDUEsWzQBUDNKoWzNEmWfqwhycMFVTtKUTtoBOYpz EFORHfIRm /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"526",NA,"aZQRqhlFDisMoiUFXyaUKEYmLYSdOeXyxdATZciCnrEfEUWZGElbPagohOLtZKVqj A LCqpTmUwdCRAmxtYJ /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"527",NA,"BaLZbecYGEvCxuDzRCkuETMWPeNOos shuIRLmwx AtkbzyfjPQWQ ESQhCOphVYIktSJPKhgojH yEGbDplKxxRmbuv /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"528",NA,"BarJ TeDeNmNnFCsizprqtAnqoyCJHAgXJnDHYqbhTNRfFjQW pQEMCWRsPcXVLEoNHjZjPuMz /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"529",NA,"BaZbySOerULaqkmPLiAdgFfuMxruZFaMmXqEunmNJFJawNBnRFXkQfzFbsKJjeiPWibVWUraHbJVaBqs /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"530",NA,"bDZjTtGJtdlZPiaqILzWJnKRxNp JPSjnWJfaOjeSZnm /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"531",NA,"beiRKhlOMUqUXs SukYZKItpnUzRifLymmjpbdSMmTLfLevZmVYDLEQVuebqfRXQxfuzOIm /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"532",NA,"BjwHMhicjDklheiOOOxTZG /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"533",NA,"BkobVtUWKsTguzjAztbCMbIhCLQXZOtJWdsPSUwEWPXSXYicyKW dCSKExHFqMsqzOOuadJlrPqJlPr vMBsbInwWUvtcq /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"534",NA,"BnJfr /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"535",NA,"BojjnAVxrsAYPcyFHsgsSbaSWNggpdMnOIAuwucBVCAQnONBTcUhZALRgcsTPpdu /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"536",NA,"BOtBjOgGfpvkjXiQUHbjHzWMjDTedOfxdMNWxTr pSfoiWKHogVxFXNKqc EeiUJMIOCpsJLesLKwcBahkLMLnqavSLEAv /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"537",NA,"bpSFlyiSgfPsXoQyWf cPTZDt /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"538",NA,"bpUnakJJMPaStSmrKhFEeLlqKhPyRGEskMsPSiMULNTbsEHKdAfGCYVlP QmLbNMRZKeKktqHOrB /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"539",NA,"BrAtGFkpTrPcDbzaXMvHeVFWnr /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"540",NA,"bRidcxnVqORfeRdDeZYAXOrYLia znRmWwjPNy /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"541",NA,"bubkpVqcFQPMIVCVzHGPARugmvxkgqOKMxxfzVI /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"542",NA,"ByiBqEfnCxmtOGUSmpSpl LOXajIYQVnnGKFvvQzGGCcsmydOnNFebvRqoxhBmixlplQZWPIUQdKyrSrYdE /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
"543",NA,"bYYSmAVZcymlqHQAQjaSPEMZJIpTSRuZroisC /// instances: 1","f1_other",TRUE,"'other' response. may need recoding."
